id,givid,rvf_elisa_pn,lepto_elisa_pn,bruc_elisa_pn,qfev_elisa_pn,BVDV_elisa_pn,toxo_elisa_pn,neospora_elisa_pn,district_name,sample_month,animalsex,herdsize_fct,PC1,PC2,PC3,PC4,PC5
1613TZN000404024968,1578,0,1,0,0,1,0,1,23,2,1,4,0.00831302,-0.0444111,-0.0154307,-0.00149815,-0.00363949
1614TZN000404024963,1579,0,1,0,0,1,0,0,23,2,1,4,0.0348143,-0.0369828,-0.0163797,0.00129911,-0.00424955
1615TZN000404024961,1580,0,1,0,0,1,0,0,23,2,1,4,0.0194247,-0.0147851,0.00757616,0.0247278,-0.00593124
1616TZN000404025000,1581,0,1,0,0,1,0,0,23,2,1,4,-0.0237269,-0.0223497,0.0141521,0.0657712,-0.0207923
1617TZN000404024979,1582,0,1,0,0,1,0,0,23,2,1,4,0.0349835,-0.0386651,-0.0174267,-0.00209117,-0.00671225
1618TZN000404024965,1583,0,0,0,0,1,0,0,23,2,1,4,0.036267,-0.0240937,-0.00722846,0.00704322,-0.0114954
1619TZN000404024997,1584,0,1,0,0,1,0,0,23,2,1,4,0.0291821,-0.0405064,-0.0244928,0.00822618,-0.0106012
1620TZN000404024977,1585,0,0,0,0,0,0,0,23,2,1,4,0.0137539,-0.0286659,-0.00218528,0.00857473,-0.00161214
1621TZN000404026015,1586,0,1,0,1,1,0,0,23,2,1,4,0.00822945,-0.0146232,0.0288941,-0.0167965,-0.0834608
1622TZN000404024982,1587,0,1,0,0,1,0,0,23,2,2,4,0.0027765,-0.0396091,-0.00468359,0.0297704,-0.00490469
1623TZN000404024990,1588,0,1,0,0,1,0,0,23,2,2,4,0.0042813,-0.0331776,0.0016493,0.0317349,-0.00860275
1624TZN000404024998,1589,0,1,0,0,0,0,0,23,2,1,4,-0.00806232,-0.0519335,-0.019505,-0.00412869,-0.00617666
1625TZN000404024964,1590,0,0,0,0,1,0,0,23,2,1,4,0.00792689,-0.00646585,0.0245565,0.0442469,-0.00981484
1626TZN000404024995,1591,0,1,0,0,0,0,0,23,2,1,4,0.0328423,-0.0396522,-0.0204105,0.0069542,-0.0122117
1627TZN000404024910,1592,0,0,0,0,1,0,0,23,12,1,3,0.0197557,-0.024569,-0.0171959,-0.0038214,-0.00598597
1628TZN000404024903,1593,1,0,0,0,1,0,0,23,12,1,3,0.0221203,-0.0272301,-0.0213219,0.00683333,-0.0139271
1629TZN000192796071,1594,1,0,0,0,0,0,0,23,12,1,1,-0.0252561,-0.062775,-0.0266348,0.0449765,0.0284601
1630TZN000404024905,1595,1,0,0,0,1,0,1,23,12,1,3,0.0421591,-0.0190561,-0.00632321,-0.00961275,-0.00295046
1631TZN000404024907,1596,0,1,0,0,1,0,0,23,12,1,3,0.00954091,-0.0254946,-0.0216739,0.00313215,-0.0118609
